name,png,uid,license,credit,tree_name
Sphyrna,20c3f743-cf61-4d7a-8fcb-f422f5d12557.original.png,20c3f743-cf61-4d7a-8fcb-f422f5d12557,http://creativecommons.org/publicdomain/zero/1.0/,NA,Sphyrna
Octopus,f060bcc7-5725-46f7-8276-14553af3707f.original.png,f060bcc7-5725-46f7-8276-14553af3707f,http://creativecommons.org/publicdomain/zero/1.0/,Margot Michaud,Octopus
Nautilus,201c6030-3bff-43fc-8547-dac6e2d50227.1024.png,201c6030-3bff-43fc-8547-dac6e2d50227,http://creativecommons.org/publicdomain/mark/1.0/,Antonov (vectorized by T. Michael Keesey),Nautilus
Mobula,10b40b65-3aa3-4fac-b4a1-f9523dc0863a.original.png,10b40b65-3aa3-4fac-b4a1-f9523dc0863a,http://creativecommons.org/publicdomain/zero/1.0/,M Kolmann,Mobula
Gripopterygidae,97804f49-f356-47d1-88e2-708855e4140d.original.png,97804f49-f356-47d1-88e2-708855e4140d,http://creativecommons.org/licenses/by-nc/3.0/,Nico Muñoz,Gripopterygidae
Cyclopoida,c38009b0-9679-4cc3-b1df-7ebd8d2380f1.original.png,c38009b0-9679-4cc3-b1df-7ebd8d2380f1,http://creativecommons.org/publicdomain/zero/1.0/,Jimmy Bernot,Cyclopoida
Perciformes,624eb565-4440-4328-872b-50150b310248.original.png,624eb565-4440-4328-872b-50150b310248,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Perciformes
Astyanax,95996831-625e-4f9f-8298-0d06af475cdf.original.png,95996831-625e-4f9f-8298-0d06af475cdf,http://creativecommons.org/licenses/by/3.0/,Cesar Julian,Astyanax
Anolis,f996a0c6-8f7c-4330-b36e-93e21b6b2d33.original.png,f996a0c6-8f7c-4330-b36e-93e21b6b2d33,http://creativecommons.org/licenses/by/3.0/,Soledad Miranda-Rottmann,Anolis
Xiphophorus,1b5ad11e-b5a6-4efd-8a21-d035714d9239.original.png,1b5ad11e-b5a6-4efd-8a21-d035714d9239,http://creativecommons.org/publicdomain/zero/1.0/,NA,Xiphophorus
Cercopithecinae,20c8c1f6-6e7d-4a0a-aaa9-d363d93c527c.original.png,20c8c1f6-6e7d-4a0a-aaa9-d363d93c527c,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Cercopithecinae
Papionina,eccbb404-c99f-41f9-8785-01a7f57f1269.1024.png,eccbb404-c99f-41f9-8785-01a7f57f1269,http://creativecommons.org/publicdomain/mark/1.0/,NA,Papionina
Sciurus,5ebe5f2c-2407-4245-a8fe-397466bb06da.1024.png,5ebe5f2c-2407-4245-a8fe-397466bb06da,http://creativecommons.org/publicdomain/zero/1.0/,Catherine Yasuda,Sciurus
Loricata,05a23b87-c965-450d-b86b-546df5518fe5.original.png,05a23b87-c965-450d-b86b-546df5518fe5,http://creativecommons.org/licenses/by/3.0/,Scott Hartman,Loricata
Allosaurus,70e7cb2e-221f-4cde-9351-2e6a76d7a9bd.original.png,70e7cb2e-221f-4cde-9351-2e6a76d7a9bd,http://creativecommons.org/licenses/by-nc-sa/3.0/,Scott Hartman,Allosaurus
Choanoflagellatea,47a4624d-1238-4a8e-b574-887a0ca4632a.original.png,47a4624d-1238-4a8e-b574-887a0ca4632a,http://creativecommons.org/publicdomain/zero/1.0/,Scott Hartman,Choanoflagellatea
Charadrius,2ff4c7f3-d403-407d-a430-e0e2bc54fab0.1024.png,2ff4c7f3-d403-407d-a430-e0e2bc54fab0,http://creativecommons.org/publicdomain/zero/1.0/,Ferran Sayol,Charadrius
Cervidae,9c6b6dd4-9057-4a6e-a05c-29489dec310d.original.png,9c6b6dd4-9057-4a6e-a05c-29489dec310d,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Cervidae
Vulpes,4a2143fc-4bfb-4188-b0fa-f2d2094349a4.original.png,4a2143fc-4bfb-4188-b0fa-f2d2094349a4,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Vulpes
Alcedo,8f0af471-cab9-49b9-95d0-e114b4706ad6.1024.png,8f0af471-cab9-49b9-95d0-e114b4706ad6,http://creativecommons.org/publicdomain/zero/1.0/,Margot Michaud,Alcedo
Alcedinidae,6209c9be-060e-4d7f-bc74-a75f3ccf4629.1024.png,6209c9be-060e-4d7f-bc74-a75f3ccf4629,http://creativecommons.org/publicdomain/zero/1.0/,Ferran Sayol,Alcedinidae
Ursus americanus,369a7880-4798-41bf-851a-ec5da17fafa3.original.png,369a7880-4798-41bf-851a-ec5da17fafa3,http://creativecommons.org/publicdomain/zero/1.0/,Margot Michaud,Ursus_americanus
Panthera,34e482b4-ebf4-41ca-8565-d6745a0de272.original.png,34e482b4-ebf4-41ca-8565-d6745a0de272,http://creativecommons.org/publicdomain/zero/1.0/,An Ignorant Atheist,Panthera
Felis silvestris,cc22d71c-a014-41a9-aaf1-5f2cffad6121.1024.png,cc22d71c-a014-41a9-aaf1-5f2cffad6121,http://creativecommons.org/publicdomain/zero/1.0/,Ferran Sayol,Felis_silvestris
